prov_kode_bps,prov_nama_bps,prov_kode_dagri,prov_nama_dagri,city_kode_bps,city_nama_bps,city_kode_dagri,city_nama_dagri
11,ACEH,11,ACEH,1101,SIMEULUE,11.09,KABUPATEN SIMEULUE
11,ACEH,11,ACEH,1102,ACEH SINGKIL,11.1,KABUPATEN ACEH SINGKIL
11,ACEH,11,ACEH,1103,ACEH SELATAN,11.01,KABUPATEN ACEH SELATAN
11,ACEH,11,ACEH,1104,ACEH TENGGARA,11.02,KABUPATEN ACEH TENGGARA
11,ACEH,11,ACEH,1105,ACEH TIMUR,11.03,KABUPATEN ACEH TIMUR
11,ACEH,11,ACEH,1106,ACEH TENGAH,11.04,KABUPATEN ACEH TENGAH
11,ACEH,11,ACEH,1107,ACEH BARAT,11.05,KABUPATEN ACEH BARAT
11,ACEH,11,ACEH,1108,ACEH BESAR,11.06,KABUPATEN ACEH BESAR
11,ACEH,11,ACEH,1109,PIDIE,11.07,KABUPATEN PIDIE
11,ACEH,11,ACEH,1110,BIREUEN,11.11,KABUPATEN BIREUEN
11,ACEH,11,ACEH,1111,ACEH UTARA,11.08,KABUPATEN ACEH UTARA
11,ACEH,11,ACEH,1112,ACEH BARAT DAYA,11.12,KABUPATEN ACEH BARAT DAYA
11,ACEH,11,ACEH,1113,GAYO LUES,11.13,KABUPATEN GAYO LUES
11,ACEH,11,ACEH,1114,ACEH TAMIANG,11.16,KABUPATEN ACEH TAMIANG
11,ACEH,11,ACEH,1115,NAGAN RAYA,11.15,KABUPATEN NAGAN RAYA
11,ACEH,11,ACEH,1116,ACEH JAYA,11.14,KABUPATEN ACEH JAYA
11,ACEH,11,ACEH,1117,BENER MERIAH,11.17,KABUPATEN BENER MERIAH
11,ACEH,11,ACEH,1118,PIDIE JAYA,11.18,KABUPATEN PIDIE JAYA
11,ACEH,11,ACEH,1171,BANDA ACEH,11.71,KOTA BANDA ACEH
11,ACEH,11,ACEH,1172,SABANG,11.72,KOTA SABANG
11,ACEH,11,ACEH,1173,LANGSA,11.74,KOTA LANGSA
11,ACEH,11,ACEH,1174,LHOKSEUMAWE,11.73,KOTA LHOKSEUMAWE
11,ACEH,11,ACEH,1175,SUBULUSSALAM,11.75,KOTA SUBULUSSALAM
62,KALIMANTAN TENGAH,62,KALIMANTAN TENGAH,6201,KOTAWARINGIN BARAT,62.01,KABUPATEN KOTAWARINGIN BARAT
62,KALIMANTAN TENGAH,62,KALIMANTAN TENGAH,6202,KOTAWARINGIN TIMUR,62.02,KABUPATEN KOTAWARINGIN TIMUR
62,KALIMANTAN TENGAH,62,KALIMANTAN TENGAH,6203,KAPUAS,62.03,KABUPATEN KAPUAS
62,KALIMANTAN TENGAH,62,KALIMANTAN TENGAH,6204,BARITO SELATAN,62.04,KABUPATEN BARITO SELATAN
62,KALIMANTAN TENGAH,62,KALIMANTAN TENGAH,6205,BARITO UTARA,62.05,KABUPATEN BARITO UTARA
62,KALIMANTAN TENGAH,62,KALIMANTAN TENGAH,6206,SUKAMARA,62.08,KABUPATEN SUKAMARA
62,KALIMANTAN TENGAH,62,KALIMANTAN TENGAH,6207,LAMANDAU,62.09,KABUPATEN LAMANDAU
62,KALIMANTAN TENGAH,62,KALIMANTAN TENGAH,6208,SERUYAN,62.07,KABUPATEN SERUYAN
62,KALIMANTAN TENGAH,62,KALIMANTAN TENGAH,6209,KATINGAN,62.06,KABUPATEN KATINGAN
62,KALIMANTAN TENGAH,62,KALIMANTAN TENGAH,6210,PULANG PISAU,62.11,KABUPATEN PULANG PISAU
62,KALIMANTAN TENGAH,62,KALIMANTAN TENGAH,6211,GUNUNG MAS,62.1,KABUPATEN GUNUNG MAS
62,KALIMANTAN TENGAH,62,KALIMANTAN TENGAH,6212,BARITO TIMUR,62.13,KABUPATEN BARITO TIMUR
62,KALIMANTAN TENGAH,62,KALIMANTAN TENGAH,6213,MURUNG RAYA,62.12,KABUPATEN MURUNG RAYA
62,KALIMANTAN TENGAH,62,KALIMANTAN TENGAH,6271,PALANGKA RAYA,62.71,KOTA PALANGKARAYA
13,SUMATERA BARAT,13,SUMATERA BARAT,1301,KEPULAUAN MENTAWAI,13.09,KABUPATEN KEPULAUAN MENTAWAI
13,SUMATERA BARAT,13,SUMATERA BARAT,1302,PESISIR SELATAN,13.01,KABUPATEN PESISIR SELATAN
13,SUMATERA BARAT,13,SUMATERA BARAT,1303,SOLOK,13.02,KABUPATEN SOLOK
13,SUMATERA BARAT,13,SUMATERA BARAT,1304,SIJUNJUNG,13.03,KABUPATEN SIJUNJUNG
13,SUMATERA BARAT,13,SUMATERA BARAT,1305,TANAH DATAR,13.04,KABUPATEN TANAH DATAR
13,SUMATERA BARAT,13,SUMATERA BARAT,1306,PADANG PARIAMAN,13.05,KABUPATEN PADANG PARIAMAN
13,SUMATERA BARAT,13,SUMATERA BARAT,1307,AGAM,13.06,KABUPATEN AGAM
13,SUMATERA BARAT,13,SUMATERA BARAT,1308,LIMA PULUH KOTA,13.07,KABUPATEN LIMA PULUH KOTA
13,SUMATERA BARAT,13,SUMATERA BARAT,1309,PASAMAN,13.08,KABUPATEN PASAMAN
13,SUMATERA BARAT,13,SUMATERA BARAT,1310,SOLOK SELATAN,13.11,KABUPATEN SOLOK SELATAN
13,SUMATERA BARAT,13,SUMATERA BARAT,1311,DHARMASRAYA,13.1,KABUPATEN DHARMASRAYA
13,SUMATERA BARAT,13,SUMATERA BARAT,1312,PASAMAN BARAT,13.12,KABUPATEN PASAMAN BARAT
13,SUMATERA BARAT,13,SUMATERA BARAT,1371,PADANG,13.71,KOTA PADANG
13,SUMATERA BARAT,13,SUMATERA BARAT,1372,SOLOK,13.72,KOTA SOLOK
13,SUMATERA BARAT,13,SUMATERA BARAT,1373,SAWAHLUNTO,13.73,KOTA SAWAHLUNTO
13,SUMATERA BARAT,13,SUMATERA BARAT,1374,PADANG PANJANG,13.74,KOTA PADANG PANJANG
13,SUMATERA BARAT,13,SUMATERA BARAT,1375,BUKITTINGGI,13.75,KOTA BUKITTINGGI
13,SUMATERA BARAT,13,SUMATERA BARAT,1376,PAYAKUMBUH,13.76,KOTA PAYAKUMBUH
13,SUMATERA BARAT,13,SUMATERA BARAT,1377,PARIAMAN,13.77,KOTA PARIAMAN
31,DKI JAKARTA,31,DKI JAKARTA,3101,KEPULAUAN SERIBU,31.01,KABUPATEN ADMINISTRASI KEPULAUAN SERIBU
31,DKI JAKARTA,31,DKI JAKARTA,3171,JAKARTA SELATAN,31.74,KOTA ADMINISTRASI JAKARTA SELATAN
31,DKI JAKARTA,31,DKI JAKARTA,3172,JAKARTA TIMUR,31.75,KOTA ADMINISTRASI JAKARTA TIMUR
31,DKI JAKARTA,31,DKI JAKARTA,3173,JAKARTA PUSAT,31.71,KOTA ADMINISTRASI JAKARTA PUSAT
31,DKI JAKARTA,31,DKI JAKARTA,3174,JAKARTA BARAT,31.73,KOTA ADMINISTRASI JAKARTA BARAT
31,DKI JAKARTA,31,DKI JAKARTA,3175,JAKARTA UTARA,31.72,KOTA ADMINISTRASI JAKARTA UTARA
53,NUSA TENGGARA TIMUR,53,NUSA TENGGARA TIMUR,5301,SUMBA BARAT,53.12,KABUPATEN SUMBA BARAT
53,NUSA TENGGARA TIMUR,53,NUSA TENGGARA TIMUR,5302,SUMBA TIMUR,53.11,KABUPATEN SUMBA TIMUR
53,NUSA TENGGARA TIMUR,53,NUSA TENGGARA TIMUR,5303,KUPANG,53.01,KABUPATEN KUPANG
53,NUSA TENGGARA TIMUR,53,NUSA TENGGARA TIMUR,5304,TIMOR TENGAH SELATAN,53.02,KAB TIMOR TENGAH SELATAN
53,NUSA TENGGARA TIMUR,53,NUSA TENGGARA TIMUR,5305,TIMOR TENGAH UTARA,53.03,KABUPATEN TIMOR TENGAH UTARA
53,NUSA TENGGARA TIMUR,53,NUSA TENGGARA TIMUR,5306,BELU,53.04,KABUPATEN BELU
53,NUSA TENGGARA TIMUR,53,NUSA TENGGARA TIMUR,5307,ALOR,53.05,KABUPATEN ALOR
53,NUSA TENGGARA TIMUR,53,NUSA TENGGARA TIMUR,5308,LEMBATA,53.13,KABUPATEN LEMBATA
53,NUSA TENGGARA TIMUR,53,NUSA TENGGARA TIMUR,5309,FLORES TIMUR,53.06,KABUPATEN FLORES TIMUR
53,NUSA TENGGARA TIMUR,53,NUSA TENGGARA TIMUR,5310,SIKKA,53.07,KABUPATEN SIKKA
53,NUSA TENGGARA TIMUR,53,NUSA TENGGARA TIMUR,5311,ENDE,53.08,KABUPATEN ENDE
53,NUSA TENGGARA TIMUR,53,NUSA TENGGARA TIMUR,5312,NGADA,53.09,KABUPATEN NGADA
53,NUSA TENGGARA TIMUR,53,NUSA TENGGARA TIMUR,5313,MANGGARAI,53.1,KABUPATEN MANGGARAI
53,NUSA TENGGARA TIMUR,53,NUSA TENGGARA TIMUR,5314,ROTE NDAO,53.14,KABUPATEN ROTE NDAO
53,NUSA TENGGARA TIMUR,53,NUSA TENGGARA TIMUR,5315,MANGGARAI BARAT,53.15,KABUPATEN MANGGARAI BARAT
53,NUSA TENGGARA TIMUR,53,NUSA TENGGARA TIMUR,5316,SUMBA TENGAH,53.17,KABUPATEN SUMBA TENGAH
53,NUSA TENGGARA TIMUR,53,NUSA TENGGARA TIMUR,5317,SUMBA BARAT DAYA,53.18,KABUPATEN SUMBA BARAT DAYA
53,NUSA TENGGARA TIMUR,53,NUSA TENGGARA TIMUR,5318,NAGEKEO,53.16,KABUPATEN NAGEKEO
53,NUSA TENGGARA TIMUR,53,NUSA TENGGARA TIMUR,5319,MANGGARAI TIMUR,53.19,KABUPATEN MANGGARAI TIMUR
53,NUSA TENGGARA TIMUR,53,NUSA TENGGARA TIMUR,5320,SABU RAIJUA,53.2,KABUPATEN SABU RAIJUA
53,NUSA TENGGARA TIMUR,53,NUSA TENGGARA TIMUR,5321,MALAKA,53.21,KABUPATEN MALAKA
